,address,artists,city,county,full_address,id,images,latitude,longitude,notes,state,neighborhood
0,19800 Grand River Avenue,unknown,Detroit,Wayne County,"19800 Grand River Avenue, Detroit, MI, USA",m0010,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0010.jpg,42.408355,-83.236525,,Michigan,North Rosedale Park
1,2434 20th Street,unknown,Detroit,Wayne County,"2434 20th St, Detroit, MI, USA",m0052,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0052.jpg,42.330751,-83.08353,,Michigan,Mexicantown - Southwest Detroit
2,24313 Grand River Avenue,JERMAINE CLARK,Detroit,Wayne County,"Grand River Avenue, Detroit, MI, USA",m0084,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0084.jpg,42.425526,-83.280624,,Michigan,The Eye
3,2001 23rd Street,unknown,Detroit,Wayne County,"23rd Street, Detroit, MI, USA",m0209,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0209.jpg,42.325127,-83.086039,,Michigan,Hubbard Richard
4,7892 Chrysler Drive,SHADES,Detroit,Wayne County,"Russell Street, Detroit, MI, USA",m0279,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0279.jpg,42.378455,-83.062162,located in rear building,Michigan,Milwaukee Junction
5,3432 Livernois,DASIC FERNÁNDEZ,Detroit,Wayne County,"3432 Livernois, Detroit, MI, USA",m0051,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0051.jpg,42.326787,-83.116584,,Michigan,Michigan - Martin
6,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0094,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0094.jpg,42.398649,-83.164515,,Michigan,Detroit
7,1425 Gratiot Avenue,SINTEX,Detroit,Wayne County,"Gratiot Avenue, Detroit, MI, USA",m0371,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0371.jpg,42.344682,-83.037965,,Michigan,Lafayette Park
8,7339 Lane Street,unknown,Detroit,Wayne County,"Lane Street, Detroit, MI, USA",m0540,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0540.jpg,42.308834,-83.120887,,Michigan,Springwells Village
9,14864 Mendota Street,HENSE,Detroit,Wayne County,"Detroit, MI, USA",m0032,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0032.jpg,42.398649,-83.164515,,Michigan,Detroit
10,2600 East Grand Boulevard,TATIANA SUAREZ,Detroit,Wayne County,"Orleans Street, Detroit, MI, USA",m0285,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0285.jpg,42.376903,-83.05722,,Michigan,Milwaukee Junction
11,1425 Gratiot Avenue,NICOLE MACDONALD,Detroit,Wayne County,"Gratiot Avenue, Detroit, MI, USA",m0512,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0512.jpg,42.344682,-83.037965,,Michigan,Lafayette Park
12,511 West Canfield Street,KEVIN JOY,Detroit,Wayne County,"511 West Canfield Street, Detroit, MI, USA",m0613,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0613.jpg,42.350922,-83.066038,,Michigan,Midtown
13,7703 Oakland Avenue,FFTY,Detroit,Wayne County,"Oakland Avenue, Detroit, MI, USA",m0690,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0690.jpg,42.376783,-83.066489,,Michigan,North End
14,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0027,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0027.jpg,42.398649,-83.164515,,Michigan,Detroit
15,1230 Library Street,"ADRIAN FALKNER', 'TRISTAN EATON', 'HENSE', 'HOW', 'NOSM', 'CYRCLE', 'MR. JAGO', 'AUGUSTINE KOFIE', 'MAYA HAYUK', 'PUSH', 'DABS MYLA', 'SAM FRIEDMAN', 'MATT W. MOORE', 'SANER', 'INTERESNI KAZKI', 'LOGAN HICKS', 'LUCY MCLAUCHLAN', 'REMI ROUGH', 'VICTOR REYES', 'GAIA', 'WAIS', 'B.",Detroit,Wayne County,"Library Street, Detroit, MI, USA",m0548,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0548.jpg,42.33428,-83.046925,"""The Z is A 10-story parking garage in Detroit's central business district that blends 1,300 parking spots with the work of 27 mural artists from across the globe. Named because the structure zigzags the corners of Broadway/East Grand River, and Library/Gratiot, the garage is a collaboration between Bedrock Detroit and Library Street Collective that opened in 2013. The 500,000-square-foot project includes 34,000 square feet of retail and restaurant space.

The 130-foot-wide murals inside the garage have turned the Z - along with the adjacent BELT Alley - into a Detroit destination. The artwork is diverse and many pieces feature nods to the history of Detroit's industry and culture, which includes the concept of The Z itself - what city better fits an art gallery that you can drive into?""

- Library Street Collective",Michigan,Downtown Detroit
16,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0600,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0600.jpg,42.398649,-83.164515,,Michigan,Detroit
